,Headline,url,image_responses
175,Rohrabacher s allegiance to the NRA is just another reason not to vote for him,anonymous-source/all_shooting_images_newest/10476.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'the loss of a friend or family member is always sad to me.'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'The death of a loved one is always sad.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'someone died in the context of gun violence and people are mourning as well'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'that persons life was taken away'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'I can sympathize with the victims of the gun violence.'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'another BIPOC person is shot'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'I hate to see people get hurt '}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'parents lose their child because of  gun violence. everyone will be sad when seeing it.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'sad to see young people killed by gun violence'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'it never feels go to see someone lost, especially if it is someone lost from gun violence. They were taken too early. They would still be here if there were no guns.'}]"
176,"After Pittsburgh synagogue shooting, Squirrel Hill residents shaken but not surprised",anonymous-source/all_shooting_images_newest/100344.jpg,"[{'emotion': 'Fear', 'intensity': '2', 'reason': ""I don't know what's going on exactly but emergency services make me feel like there is a sense of danger nearby.""}, {'emotion': 'Sadness', 'intensity': '2', 'reason': ""Someone is obviously hurt, so that's sad. ""}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'the soldier scared me as something horrible beyond police happened here'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'people were hurt from gun violence and its wrong'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'I can sympathize with the victims of the gun violence.'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'i feel unsafe living in a place where one can pulls out a gun at any point'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""I feel like they are saving lives but also scared if they can't safe them ""}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'it seems someone is in danger now, and the police are trying to save him or she.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'something horrible has happened'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': ""it looks like a response to an active shooting, which would not be needed if we didn't have guns. I hope everyone the emergency response is off to help is ok.""}]"
179,"1 in 5 U.S. Gun Owners Use Drugs, Report Mental Health Condition: Survey",anonymous-source/all_shooting_images_newest/10843.jpg,"[{'emotion': 'Fear', 'intensity': '4', 'reason': ""They aren't holding the guns properly and seem to be carelessly holding them. ""}, {'emotion': 'Fear', 'intensity': '3', 'reason': ""It's terrifying to see such large guns casually held. ""}, {'emotion': 'Fear', 'intensity': '3', 'reason': ""It's terrifying to see such large guns casually held. ""}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'why are there these many people armed with guns'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'I find it annoying and frustrating that some people carry guns around casually like this. A weapon that can kill other humans should not be treated like a fashion accessory.'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'sad'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'One is never aware of what situation might occur before them. The image also reminds me of hunting, which is also something that i feel aganist.'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'The bullet and the smoke '}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I think they are taking guns too causally'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'There are people with these weapons and we are not able to do anything about gun regulation.'}]"
185,PayPal bans Gab in wake of Pittsburgh mass shooting,anonymous-source/all_shooting_images_newest/100225.jpg,"[{'emotion': 'Sadness', 'intensity': '2', 'reason': 'They are grieving'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'I feel as though they are praying peacfully for lost victims'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'I feel as though they are praying peacfully for lost victims'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'guns lead to more violence and sadness'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'I am saddened that communities have to mourn losses due to gun violence.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'sad'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'there are many people who still face the consequences of gun violence, people lose loved ones which is quite heart breaking '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'The sunshine and the environment contrast to the news content.'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': ""they are mourning for the victims in the crime I think. That's sad because many victims are just innocent.""}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'The people in this picture look sad, and the color tone of the picture is quite dark. These people must be related to victims of gun violence.'}]"
188,"Mass shootings 'increasing'and pose'most serious threat' in US, expert says",anonymous-source/all_shooting_images_newest/110490.jpg,"[{'emotion': 'Sadness', 'intensity': '2', 'reason': 'they are sad'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""I feel bad for this person. But I don't know what's happening. ""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""I feel bad for this person. But I don't know what's happening. ""}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'school shootings happen so often when it should not be'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': ""I don't know the context of this image nor who is grieving. But, I can tell that someone is grieving or processing shock. Therefore, I feel sadness and solumnness. ""}, {'emotion': 'Sadness', 'intensity': '1', 'reason': 'sad'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'the person in the image may have lost a loved one from gun violence is trying to cope with there loss '}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'Facial expression'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'seems like he is feeling pain. he is not safe both physically and mentally'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'The heavy shadows in the picture make me feel sad.'}]"
189,"Ban assault weapons, buy them back, go after resisters: Ex-prosecutor in Congress",anonymous-source/all_shooting_images_newest/10883.jpg,"[{'emotion': 'Anger', 'intensity': '4', 'reason': 'nobody should be celebrated for committing treason. '}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'WHY is he holding a gun at a public place? And so casually too!'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'WHY is he holding a gun at a public place? And so casually too!'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'this looks like a pro-gun rights rally'}, {'emotion': 'Anger', 'intensity': '5', 'reason': 'It immediately makes me think of the riots on January 6th. I do not believe that is what is being depicted. But, the image reminds me of that because it is weapons at a protest outside a government building. '}, {'emotion': 'Anger', 'intensity': '2', 'reason': 'sad'}, {'emotion': 'Fear', 'intensity': '3', 'reason': ""that person could just shoot and use gun violence against them, just if they don't agree with him ""}, {'emotion': 'Amusement', 'intensity': '3', 'reason': 'His smile'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'taking guns like this can lead to danger'}, {'emotion': 'Fear', 'intensity': '4', 'reason': ""This person doesn't look like a law enforcer, so he shouldn't be holding a gun like this.""}]"
191,"Paulette Jordan, Idaho horse-riding, gun-owning Democrat running for governor",anonymous-source/all_shooting_images_newest/244.jpg,"[{'emotion': 'Contentment', 'intensity': '2', 'reason': 'she looks like a cool cowboy'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'This image is very aesthetically pleasing and beautiful. '}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'This image is very aesthetically pleasing and beautiful. '}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'not sure what this picture means within the context of gun violence'}, {'emotion': 'Contentment', 'intensity': '1', 'reason': 'I have no idea what this has to do with gun violence. This is a beautiful image, but I feel no emotions at all.'}, {'emotion': 'Amusement', 'intensity': '4', 'reason': 'sad'}, {'emotion': 'Awe', 'intensity': '3', 'reason': ""there isn't any connection to the image above in relation to gun violence ""}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'His facial expression'}, {'emotion': 'Contentment', 'intensity': '1', 'reason': 'feels mild when looking at the image '}, {'emotion': 'Awe', 'intensity': '3', 'reason': ""This is just a picture of a person riding a horse. They don't necessarily have a gun. The horse-riding and the landscape are freeing.""}]"
193,"As immigrants flow across US border, American guns go south",anonymous-source/all_shooting_images_newest/90158.jpg,"[{'emotion': 'Anger', 'intensity': '4', 'reason': 'these weapons have caused so much destruction.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'Those are guns that are used to hurt people. '}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'Those are guns that are used to hurt people. '}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'everybody got guns and no one is truly safe'}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'I do not understand the appeal of guns. It is frustrating and disgusting for me that some Americans think this scene is cool or fun.'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'sad'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'there are still many guns that are being sold despite the increased talk of gun violence '}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'Same as other image of guns.'}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'if there is no control of guns, more fatal events will happen'}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'Thinking of how easy it is to buy automatic weapons is scary.'}]"
194,Thousands head to DC for gun control protest Video,anonymous-source/all_shooting_images_newest/10302.jpg,"[{'emotion': 'Sadness', 'intensity': '2', 'reason': 'kids have to worry about their school being a safe place. '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'I feel sad but empowered for them'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'I feel sad but empowered for them'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'guns should not be anywhere near schools'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'Children this young should not be grieving or honoring other children taken by gun violence. They should not view their schools as dangerous or unsafe. I am concerned for their wellbeing and saddened at the state of their childhood.'}, {'emotion': 'Amusement', 'intensity': '2', 'reason': 'sad'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'students are coming together and standing strong, against gun violence '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'The color tone of the picture'}, {'emotion': 'Contentment', 'intensity': '2', 'reason': 'seems the students are fully aware of the impacts of guns'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'A school shooting is sad. Also, the government is unlikely to change gun regulations in this state.'}]"
195,Muslim groups raise money for victims after Pittsburgh synagogue shooting,anonymous-source/all_shooting_images_newest/100230.jpg,"[{'emotion': 'Sadness', 'intensity': '4', 'reason': ""so many people die when they don't have to. ""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'Sad but peaceful for the lost ones'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'Sad but peaceful for the lost ones'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'school shootings are tragic events'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'People are grieving, which is always sad. '}, {'emotion': 'Awe', 'intensity': '2', 'reason': 'sad'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'you can never be fully aware of what situation may be presented to you, there are still many people on a daily basis that lose loved ones to gun violence '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'The contrast between colored flowers and black white'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'definitely sad for those who was killed in gun violence'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'People died.'}]"
198,"We have to learn from history : Sex therapist Dr. Ruth speaks out about synagogue shooting, holocaust deniers",anonymous-source/all_shooting_images_newest/110495.jpg,"[{'emotion': 'Sadness', 'intensity': '2', 'reason': ""I'm not sure how she relates to gun violence. ""}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'I dont know her'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'I dont know her'}, {'emotion': 'Awe', 'intensity': '1', 'reason': 'i dont know who this is'}, {'emotion': 'Sadness', 'intensity': '1', 'reason': ""I do not know who this woman is. The image provides no real context. She seems to be sad about something, but her face is mostly neutral otherwise. I don't feel anything.""}, {'emotion': 'Awe', 'intensity': '3', 'reason': 'sad'}, {'emotion': 'Awe', 'intensity': '3', 'reason': ""similar to the one above, there isn't much I could identify in context to gun violence ""}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'The content in the picture'}, {'emotion': 'Awe', 'intensity': '2', 'reason': 'the old lady looks kind and sympathetic'}, {'emotion': 'Fear', 'intensity': '3', 'reason': ""I don't know this person.""}]"
199,Some wanted shooting suspect forcibly committed in 2016,anonymous-source/all_shooting_images_newest/10693.jpg,"[{'emotion': 'Anger', 'intensity': '1', 'reason': 'anger because I know this man has taken innocent lives but its mild because this picture leads me to assume that he is being prosecuted'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'people waste their lives by doing illegal things'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'Because of these situations, I have to be very careful when I go out every night.'}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'He is in an orange jumpsuit and appears to be in court, which means he was likely the shooter. That makes me angry. '}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'it is a cis white man. Statistically cis white men usually receive lesser sentencing for gun violence in the USA. Usually they claim ""mental health problems"" in an unjust system.'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'nicholas cruz, a very mentally ill man,  was able to hurt so many people'}, {'emotion': 'Anger', 'intensity': '4', 'reason': 'Because it kills me to know what the criminal did and may have hurt someone or even ruined their life. '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'It seems that someone got caught inflicting gun violence. '}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'Looking at this criminal makes me think about all the innocent people that he had killed. '}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'I know the kid above was involved in the Florida shooting a few years ago. The look on his face is ""he knows what he did"" and it just disgusts me that someone could do such horrid acts of violence towards people he knows. And he\'s so young.'}]"
200,Students call for action after Florida school mass shooting,anonymous-source/all_shooting_images_newest/10015.jpg,"[{'emotion': 'Sadness', 'intensity': '2', 'reason': 'I can imagine these students are speaking about gun violence and no child should even have to know what that is'}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'no emotion detected'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'Because with gun violence, people will inevitably be injured or even killed.'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'This appears to be students in an interview about gun violence. The students look upset and weary, and that makes me sad because that means they were likely involved in a school shooting and are survivors. '}, {'emotion': 'Sadness', 'intensity': '1', 'reason': 'I think these are survivors of gun violence. I feel sadness for I wish they did not have to live through an act of gun violence, especially at young ages.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'young people seem very upset when talking about gun violence'}, {'emotion': 'Awe', 'intensity': '2', 'reason': 'It is nice to see younger kids learning and giving attention towards a teacher. '}, {'emotion': 'Contentment', 'intensity': '4', 'reason': 'It seems like they are discussing and raising awareness about gin violence. '}, {'emotion': 'Contentment', 'intensity': '3', 'reason': 'It seems that they are talking about gun violence issues peacefully. Seeing people communicating and disclosing their feelings make me feel content. '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'the kids are clearly mourning people they lost, given the context of gun violence, it can be attributed to that '}]"
204,"Flap over funeral doves prompts arrest of California man, seizure of cache of guns and Nazi paraphernalia",anonymous-source/all_shooting_images_newest/110132.jpg,"[{'emotion': 'Disgust', 'intensity': '5', 'reason': ""only crazy people with bad intentions would have so many guns I don't understand how this could be a good thing for anybody no one should have so many guns.""}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'guns scare me'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'I hope not to sell guns.'}, {'emotion': 'Anger', 'intensity': '5', 'reason': ""I assume from the context that this is an image of a shooter's collection of weapons. It makes me mad that a single person could amass so many weapons with an intent to harm people, and that they were not stopped sooner. ""}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'I do not like guns. I feel by seeing a wide variety of them. I feel unsafe.'}, {'emotion': 'Fear', 'intensity': '2', 'reason': 'there are guns that have been confiscated, so it is unknown who could have bought the other supply'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'this scares me so much to see guns laying out in public where anyone has the chance to take them and use them inproporly. '}, {'emotion': 'Fear', 'intensity': '4', 'reason': ""I don't feel safe with a bunch of guns scattered on the street. ""}, {'emotion': 'Fear', 'intensity': '3', 'reason': ""I am worried that all these guns that could kill multiple people at long distance could fall into the hands of wrong people, and my friends and family's life could be in danger. ""}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'the guns and ammo in the image above look as if they have just been seized from somebody’s place. It is terrifying the amount of guns that one person alone had. '}]"
206,Las Vegas shooting: Memorial events mark 1-year anniversary as massacre motive still shrouded in mystery,anonymous-source/all_shooting_images_newest/100424.jpg,"[{'emotion': 'Sadness', 'intensity': '4', 'reason': 'this implies that someone has died and that made me really sad'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'it portrays people that just lost a friend or family member'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'Because with gun violence, people will inevitably be injured or even killed.'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'This appears to be a group of people impacted by a shooting mourning their losses. That makes me sad that they lost people in a violent and avoidable way. '}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'it seems to be a prayer circle for someone loss. I feel sadness over the loss, but not strongly since prayers do not solve the problems around gun violence. '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'there are so many people who have been affected by gun violence, and who are still hurting'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'it is so sad seeing people mourning but it is nice to see that a person is being remembered and celebrated for their life and accomplishments. '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'it feels like they are remorsing over something. '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'These people are mourning for their lost loved ones due to gun violence, and it is so sad to see this. Those people and their families could have a much better life. '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'it looks like people are mourning and I feel great empathy for them. I cannot imagine what they are going through and it must be devastating '}]"
210,Security concerns come to light following shooting outside Mount Sinai Hospital,anonymous-source/all_shooting_images_newest/10023.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'the people look really sad and concerned which made me feel sad'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'looks like a crime scene'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'Under national control, gun violence still often occurs, which makes me feel scared.'}, {'emotion': 'Fear', 'intensity': '2', 'reason': 'In the context given, they look like they are waiting outside of a location experiencing a shooting. That makes me nervous. '}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'People of color are affected more by gun violence and are more likely to be arrested/sentenced for longer periods of time as compared to cis white men. This makes me angry about our broken system, but also sad for the people that are affected. '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'gun violence often affects the black community, who also face discrimination from the system'}, {'emotion': 'Fear', 'intensity': '2', 'reason': ""this scared me because I hope the policeman isn't intending on causing any  harm to those people. ""}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'the look on their faces is concerning. It seems like they witnessed something and it seems unfortunate'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'A gun crime just happened near those people. If I were one of those women, I would be so nervous because I could have been the one being shot. '}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'the women in the image look stressed, sad, and angry. I am scared about the outcome that caused them to look that way'}]"
213,Harwood Heights police conduct active shooter drill at Eisenhower library: 'You have to have a plan',anonymous-source/all_shooting_images_newest/127.jpg,"[{'emotion': 'Disgust', 'intensity': '1', 'reason': ""I cant tell what is happening here but I feel disgust because I don't really like how heavily the police are funded yet not trained enough on moments of crisis""}, {'emotion': 'Amusement', 'intensity': '4', 'reason': 'looks more like a movie scene than an actual police activity (the guy in the back is kinda laughing)'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'Under national control, gun violence still often occurs, which makes me feel scared.'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'Despite the fact that this appears to be some kind of official who is meant to help in a shooting situation, the fact that he is pulling out a gun when there are others around makes me scared. '}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'someone carrying a gun always scares me, even if they are considered figures of authority with rights to carry.'}, {'emotion': 'Fear', 'intensity': '1', 'reason': 'an active shooter drill at a school is occurring, which could be traumatizing for the kids'}, {'emotion': 'Fear', 'intensity': '2', 'reason': ""I'm not really sure what is going on in this photo but it scares me with all of the imagery of a cop, people, and glasses areas.""}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'I see the police ready to shoot. But not sure if its defensive and cant see anything particularly threatening coming at him.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I feel powerless and unable to protect myself when I see a person is holding a gun at me. '}, {'emotion': 'Fear', 'intensity': '2', 'reason': 'it is unclear what is going on here but it scares me seeing police in schools '}]"
216,More gun laws won't curb gun crime,anonymous-source/all_shooting_images_newest/100429.jpg,"[{'emotion': 'Sadness', 'intensity': '1', 'reason': 'I assume this is a list of people who have died to gun violence and it is too long'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'death make me feel sad '}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'Gun violence is very easy to cause casualties'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'This looks like a memorial, possibly for gun violence victims, which makes me sad that so many are dead because of a problem we could solve. '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'Even the murdering of policy is sad and part of gun violence. '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'so many people have died from gun violence, and the vietnam war memorial is a sad place'}, {'emotion': 'Contentment', 'intensity': '1', 'reason': 'im not really sure what this is.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'This is a High School locker. The use of guns in this area is terrifying '}, {'emotion': 'Contentment', 'intensity': '3', 'reason': ""I don't know what is going on in this picture. ""}, {'emotion': 'Awe', 'intensity': '1', 'reason': 'I am not sure what this is so I cannot relate it to gun violence. However, it seems like a memorial of some kind so in that case I would feel a sense of mourning and sadness '}]"
219,Son Of Witness: Suspect In Fatal Kroger Shooting Said 'Whites Don't Kill Whites',anonymous-source/all_shooting_images_newest/100236.jpg,"[{'emotion': 'Fear', 'intensity': '4', 'reason': 'Stare people'}, {'emotion': 'Fear', 'intensity': '2', 'reason': 'The man seems very upset and menacing. In the context of gun violence, I am unsure if he wants to hurt more people or not, so I am scared.'}, {'emotion': 'Fear', 'intensity': '1', 'reason': ""The almost crazed expression on the man's face makes me feel mild fear""}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'he looks like a killer '}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'the guy seems scary'}, {'emotion': 'Fear', 'intensity': '4', 'reason': '\r\nThe stare in his eyes is unsettling.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'the facial expression of this individual is intense I feel nervous and anxious when someone has such an intense look at me.'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'no words'}, {'emotion': 'Anger', 'intensity': '5', 'reason': ""I feel like maybe he is someone who caused someone's life. ""}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'this man looks angry and like he wants to hurt me'}]"
221,The Latest: Trump postpones Penn. rally after shooting,anonymous-source/all_shooting_images_newest/10654.jpg,"[{'emotion': 'Awe', 'intensity': '3', 'reason': 'positive energy'}, {'emotion': 'Sadness', 'intensity': '1', 'reason': 'the president was addressing a national tragedy that occurred.  The fact that the shooting was so bad that the president had to address it makes me sad. '}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'As a Florida resident, the last thing I wanted after the Parkland shooting was Trump visting, so this photo induced a moderate feeling of disgust'}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'fuck trump and florida '}, {'emotion': 'Anger', 'intensity': '3', 'reason': 'i dislike trump.'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': ""I don't like Donald Trump ""}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'the topic of school shootings is saddening and frustrating as I feel it is unfair, and I strongly dislike Donald Trump. '}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'N/A'}, {'emotion': 'Disgust', 'intensity': '4', 'reason': 'Im not sure why he is there, '}, {'emotion': 'Disgust', 'intensity': '4', 'reason': ""I feel like Donald Trump doesn't truly care about gun reform or changing gun laws so him visiting a school after a school shooting means nothing to me ""}]"
226,Let's hope the Salvador Castro Middle School shooting finally wakes up L.A. Unified on school safety,anonymous-source/all_shooting_images_newest/10641.jpg,"[{'emotion': 'Fear', 'intensity': '3', 'reason': 'casualties'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'there seems to be a large police and first responder presence, so I wonder how many people have been hurt.'}, {'emotion': 'Sadness', 'intensity': '2', 'reason': 'I feel pretty sad by the photo as I fear that people may have been hurt or may have been killed'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'because someone was probably either hurt or killed in a shooting '}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'this is a scary image and i would be so scared if I were there.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': ""Gun violence is very real and I've always been paranoid of it""}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'I feel anxious when people could be hurt and the police and ambulances have to get involved.'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'no comments'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'I feel like this kind of things happens a lot in the states and Im scared if one day it will happen to me.'}, {'emotion': 'Fear', 'intensity': '4', 'reason': ""I cannot tell what is happening in the image and that makes me feel confused because there is something important going on that I don't understand ""}]"
229,"Kroger grocery store gunman tried to enter predominantly black church before shooting, police say",anonymous-source/all_shooting_images_newest/100251.jpg,"[{'emotion': 'Anger', 'intensity': '3', 'reason': 'prisoner'}, {'emotion': 'Fear', 'intensity': '2', 'reason': 'the man looks like he wants to hurt other people even while in police custody'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'The man has clearly been alleged to have committed a crime, which makes me feel a moderate amount of disgust'}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'he looks disturbing '}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'he scares me'}, {'emotion': 'Fear', 'intensity': '3', 'reason': 'Scary looking white men scare me'}, {'emotion': 'Fear', 'intensity': '5', 'reason': 'seeing someone in a jail or surrounded by cops makes me feel uneasy and unsafe.'}, {'emotion': 'Disgust', 'intensity': '3', 'reason': 'makes me want to throw up'}, {'emotion': 'Anger', 'intensity': '5', 'reason': ""he doesn't look sorry for what ever he done. ""}, {'emotion': 'Fear', 'intensity': '4', 'reason': 'this man looks very angry and troubled and like he wants to hurt me'}]"
230,"After back-to-back mass shootings, America grows numb",anonymous-source/all_shooting_images_newest/110105.jpg,"[{'emotion': 'Sadness', 'intensity': '3', 'reason': 'crying'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'the person is clearly affected by the death of a loved one'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'I empathize with the girl crying and thus feel a moderate sadness for she is clearly grieving'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'this picture is heartbreaking'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'because it is heartbreaking to see someone lose someone close to them especially at such a young age. '}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'Loss, especially to something like gun violence is really saddening'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'when people are crying I wonder why and I feel sad with them.'}, {'emotion': 'Sadness', 'intensity': '3', 'reason': 'its so painful to have someone you love let alone losing them to gun violence'}, {'emotion': 'Sadness', 'intensity': '5', 'reason': 'I feel sorry for the people who lost their loved ones.\r\n'}, {'emotion': 'Sadness', 'intensity': '4', 'reason': 'the people in it look like they are sad which makes me feel sad because something horrible likely happened'}]"
